id,prestacion_Id_id,codCIE10_Id_id
960,NM070703,I11.0
961,NM070703,I13.0
962,NM070703,I13.2
963,NM070703,I13.9
964,NM070703,I42.0
965,NM070703,I42.9
966,NM070703,I44.2
967,NM070703,I46.0
968,NM070703,I47.0
969,NM070703,I47.1
970,NM070703,I47.2
971,NM070703,I47.9
972,NM070703,I48.0
973,NM070703,I48.1
974,NM070703,I48.2
975,NM070703,I48.3
976,NM070703,I48.4
977,NM070703,I48.9
978,NM070703,I49.0
979,NM070703,I49.1
980,NM070703,I49.2
981,NM070703,I49.3
982,NM070703,I49.5
983,NM070703,I49.9
984,NM070703,I50.0
985,NM070703,I50.1
986,NM070703,I50.9
987,NM070703,I51.4
988,NM070703,I97.0
989,NM070703,O90.3
990,NM070703,Q24.9
991,NM070703,T82.5
992,NM070703,Z95.5
993,NM070801,I20.0
994,NM070801,I20.9
995,NM070801,I21.0
996,NM070801,I21.1
997,NM070801,I21.2
998,NM070801,I21.3
999,NM070801,I21.4
1000,NM070801,I21.9
1001,NM070801,I22.0
1002,NM070801,I22.1
1003,NM070801,I22.9
1004,NM070801,I24.0
1005,NM070801,I24.9
1006,NM070801,I25.1
1007,NM070801,I25.2
1008,NM070801,I25.5
1009,NM070801,I25.6
1010,NM070801,I25.9
1011,NM070801,Q24.5
1012,NM070801,T82.2
1013,NM070802,I20.0
1014,NM070802,I20.9
1015,NM070802,I21.0
1016,NM070802,I21.1
1017,NM070802,I21.2
1018,NM070802,I21.3
1019,NM070802,I21.4
1020,NM070802,I21.9
1021,NM070802,I22.0
1022,NM070802,I22.1
1023,NM070802,I22.9
1024,NM070802,I24.0
1025,NM070802,I24.9
1026,NM070802,I25.1
1027,NM070802,I25.2
1028,NM070802,I25.5
1029,NM070802,I25.6
1030,NM070802,I25.9
1031,NM070802,Q24.5
1032,NM070802,T82.2
1033,NM070803,I20.0
1034,NM070803,I20.9
1035,NM070803,I21.0
1036,NM070803,I21.1
1037,NM070803,I21.2
1038,NM070803,I21.3
1039,NM070803,I21.4
1040,NM070803,I21.9
1041,NM070803,I22.0
1042,NM070803,I22.1
1043,NM070803,I22.9
1044,NM070803,I24.0
1045,NM070803,I24.9
1046,NM070803,I25.1
1047,NM070803,I25.2
1048,NM070803,I25.5
1049,NM070803,I25.6
1050,NM070803,I25.9
1051,NM070803,Q24.5
1052,NM070803,T82.2
1053,NM080203,K40.3
1054,NM080203,K40.4
1055,NM080203,K40.9
1056,NM080203,K41.3
1057,NM080203,K41.4
1058,NM080203,K41.9
1059,NM080203,K42.0
1060,NM080203,K42.1
1061,NM080203,K42.9
1062,NM080203,K43.0
1063,NM080203,K43.1
1064,NM080203,K43.2
1065,NM080203,K43.4
1066,NM080203,K43.6
1067,NM080203,K43.7
1068,NM080203,K43.9
1069,NM080203,K44.0
1070,NM080203,K44.1
1071,NM080203,K44.9
1072,NM080203,K45.0
1073,NM080203,K45.1
1074,NM080203,K45.8
1075,NM080203,K46.0
1076,NM080203,K46.1
1077,NM080203,K46.9
1078,NM080203,Q79.0
1079,NM080203,Q79.2
1080,NM080203,Q79.3
1081,NM080205,K40.2
1082,NM080205,K41.0
1083,NM080205,K40.0
1084,NM080205,K41.2
1085,NM080205,K41.1
1086,NM080205,K40.1
1087,NM080270,K40.0
1088,NM080270,K40.1
1089,NM080270,K40.2
1090,NM080270,K40.3
1091,NM080270,K40.4
1092,NM080270,K40.9
1093,NM080270,K41.0
1094,NM080270,K41.1
1095,NM080270,K41.2
1096,NM080270,K41.3
1097,NM080270,K41.4
1098,NM080270,K41.9
1099,NM080270,K42.0
1100,NM080270,K42.1
1101,NM080270,K42.9
1102,NM080270,K43.0
1103,NM080270,K43.1
1104,NM080270,K43.2
1105,NM080270,K43.4
1106,NM080270,K43.6
1107,NM080270,K43.7
1108,NM080270,K43.9
1109,NM080270,K44.0
1110,NM080270,K44.1
1111,NM080270,K44.9
1112,NM080270,K45.0
1113,NM080270,K45.1
1114,NM080270,K45.8
1115,NM080270,K46.0
1116,NM080270,K46.1
1117,NM080270,K46.9
1118,NM080270,Q43.3
1119,NM080270,Q79.0
1120,NM080270,Q79.2
1121,NM080270,Q79.3
1122,NM080270,Q79.5
1123,NM080370,E66.0
1124,NM080370,E66.2
1125,NM080370,E66.8
1126,NM080370,E66.9
1127,NM080371,E66.0
1128,NM080371,E66.2
1129,NM080371,E66.8
1130,NM080371,E66.9
1131,NM080524,C18.1
1132,NM080524,D12.1
